EmployeeID,FirstName,LastName,Gender,Age,Department,JobTitle,HireDate,YearsAtCompany,Salary,PerformanceRating,Attrition,Education,MaritalStatus,Overtime,TrainingHours,SickDays,City
E100053,Robert,Williams,Male,47,Sales,Sales Manager,2016-02-10,9.9,78295,4,No,Associate,Married,Yes,53,8,Chicago
E100054,John,Williams,Male,54,IT,Software Engineer,2013-07-04,12.5,89388,3,Yes,Bachelor,Single,Yes,22,5,Denver
E100055,Sarah,Williams,Female,32,Sales,Sales Manager,2012-10-26,13.2,73006,2,No,High School,Married,Yes,0,10,Denver
E100056,Michael,Anderson,Male,57,Customer Support,Support Agent,2012-02-15,13.9,46821,4,No,Bachelor,Single,No,58,4,Denver
E100057,Karen,Jones,Female,41,HR,HR Manager,2013-05-05,12.7,86667,4,No,Associate,Single,No,36,12,Phoenix
E100058,Linda,Hernandez,Male,57,Customer Support,Support Lead,2013-12-22,12,78678,3,No,High School,Single,No,31,9,Miami
E100059,William,Garcia,Female,36,IT,Software Engineer,2018-06-19,7.5,94923,4,No,Associate,Divorced,No,51,5,Chicago
E100060,Sarah,Martin,Male,42,Sales,Sales Manager,2022-09-06,3.3,78044,5,No,Bachelor,Divorced,No,40,8,Dallas
E100061,Jessica,Wilson,Male,37,IT,Software Engineer,2019-02-10,6.9,102460,2,No,Bachelor,Divorced,No,32,5,Phoenix
E100062,Thomas,Rodriguez,Male,56,Marketing,Marketing Manager,2015-05-15,10.6,74701,3,No,Associate,Married,No,20,3,Chicago
E100063,William,Wilson,Female,37,HR,HR Specialist,2024-11-24,1.1,75078,2,No,High School,Divorced,Yes,47,8,Miami
E100064,Robert,Brown,Male,52,Sales,Sales Manager,2019-12-28,6,72353,4,No,High School,Divorced,Yes,4,10,Miami
E100065,Patricia,Taylor,Female,23,Customer Support,Support Agent,2022-01-14,4,75576,3,No,Bachelor,Divorced,Yes,53,13,Chicago
E100066,John,Jones,Female,26,IT,Software Engineer,2015-03-09,10.8,108503,5,No,Associate,Single,Yes,39,0,Phoenix
E100067,Susan,Smith,Male,35,Marketing,Marketing Manager,2020-07-05,5.5,66587,4,No,High School,Married,Yes,52,2,Phoenix
E100068,Lisa,Thomas,Male,34,HR,HR Manager,2020-10-26,5.2,78560,5,No,Associate,Divorced,No,38,10,Phoenix
E100069,Karen,Wilson,Male,32,Finance,Accountant,2021-03-02,4.8,63371,3,Yes,High School,Single,Yes,34,6,Phoenix
E100070,Patricia,Hernandez,Male,39,HR,HR Specialist,2013-01-27,12.9,85060,5,Yes,Associate,Single,Yes,0,0,Phoenix
E100071,Jessica,Lopez,Male,36,Operations,Operations Analyst,2013-01-05,13,61714,3,No,High School,Divorced,No,42,10,Dallas
E100072,Robert,Taylor,Female,45,Customer Support,Support Lead,2016-12-29,9,45354,3,No,Associate,Single,No,43,4,Dallas
E100073,Jessica,Garcia,Female,23,Customer Support,Support Lead,2023-12-30,2,57365,2,No,Bachelor,Married,No,56,8,Seattle
E100074,Thomas,Jones,Female,41,HR,HR Manager,2016-03-17,9.8,60606,3,Yes,Associate,Married,No,17,14,Miami
E100075,Sarah,Hernandez,Male,49,Sales,Sales Rep,2020-02-15,5.9,80578,5,No,High School,Divorced,Yes,4,15,Boston
E100076,Robert,Lopez,Male,51,HR,HR Manager,2020-10-23,5.2,88888,3,Yes,Bachelor,Single,Yes,20,4,Boston
E100077,James,Brown,Female,60,IT,IT Support,2021-01-04,5,90857,5,No,Master,Divorced,No,60,4,Denver
E100078,John,Johnson,Female,35,Sales,Sales Rep,2012-02-10,13.9,70049,5,No,Master,Married,No,5,8,Denver
E100079,Mary,Lopez,Female,35,Customer Support,Support Agent,2018-03-20,7.8,43038,3,No,High School,Divorced,Yes,51,10,Seattle
E100080,Joseph,Smith,Male,35,Operations,Operations Analyst,2020-06-02,5.6,66948,3,No,Bachelor,Divorced,Yes,58,1,Chicago
E100081,Jessica,Martin,Male,26,Finance,Financial Analyst,2025-07-04,0.5,100483,3,No,Bachelor,Married,Yes,50,7,Denver
E100082,Joseph,Jackson,Male,53,Sales,Sales Rep,2023-12-20,2,78586,3,No,Master,Single,No,4,14,Dallas
E100083,David,Garcia,Male,24,Sales,Sales Rep,2013-06-05,12.6,56637,5,Yes,Associate,Single,Yes,10,15,Dallas
E100084,Susan,Brown,Female,49,HR,HR Manager,2014-11-24,11.1,89894,3,No,Bachelor,Married,No,48,3,Miami
E100085,Susan,Taylor,Male,34,Operations,Operations Manager,2016-06-14,9.6,78668,2,No,High School,Divorced,No,3,6,Miami
E100086,Joseph,Anderson,Female,38,Marketing,Marketing Manager,2023-08-02,2.4,60301,3,No,Master,Divorced,Yes,53,4,Boston
E100087,Joseph,Taylor,Male,57,Customer Support,Support Lead,2023-02-23,2.9,59168,2,Yes,Bachelor,Divorced,Yes,52,11,Miami
E100088,Thomas,Lopez,Male,48,Sales,Sales Manager,2024-02-25,1.9,50917,3,No,Associate,Divorced,Yes,39,15,Chicago
E100089,Mary,Davis,Female,58,Operations,Operations Manager,2022-09-21,3.3,85777,5,No,Bachelor,Single,No,55,1,Seattle
E100090,James,Martin,Male,53,IT,Software Engineer,2020-01-07,6,119406,4,No,Bachelor,Married,No,57,7,Seattle
E100091,Michael,Wilson,Male,31,Customer Support,Support Agent,2018-05-16,7.6,59804,3,No,Associate,Single,Yes,57,9,Miami
E100092,Elizabeth,Thomas,Female,45,Marketing,Marketing Specialist,2017-04-25,8.7,73757,4,No,High School,Divorced,Yes,22,7,Denver
E100093,Karen,Davis,Female,39,Operations,Operations Analyst,2024-04-21,1.7,80845,3,No,Associate,Single,No,33,12,Seattle
E100094,Lisa,Gonzalez,Male,39,Marketing,Marketing Manager,2019-01-17,7,65271,2,Yes,High School,Married,No,15,8,Denver
E100095,Daniel,Anderson,Male,48,Operations,Operations Manager,2015-05-31,10.6,60083,4,No,Associate,Single,No,3,14,Phoenix
E100096,Matthew,Thomas,Male,32,IT,Data Analyst,2024-09-05,1.3,111894,3,No,Associate,Single,No,36,3,Seattle
E100097,Robert,Hernandez,Male,42,Customer Support,Support Agent,2017-05-11,8.6,61151,3,No,Master,Single,No,50,5,Dallas
E100098,Joseph,Anderson,Female,29,Customer Support,Support Lead,2023-09-11,2.3,56200,5,No,Bachelor,Divorced,Yes,48,12,Phoenix
E100099,Susan,Taylor,Male,47,Finance,Accountant,2019-06-01,6.6,102934,4,No,Associate,Married,No,16,14,Chicago
E100100,John,Moore,Female,33,Finance,Financial Analyst,2021-03-08,4.8,98538,4,No,High School,Single,No,23,12,Boston
E100101,John,Wilson,Male,35,Finance,Financial Analyst,2021-07-06,4.5,64898,3,Yes,Master,Single,Yes,48,6,Miami
E100102,Sarah,Anderson,Female,44,IT,Data Analyst,2015-09-09,10.3,95829,4,No,High School,Divorced,No,57,13,Chicago
E100103,Jennifer,Garcia,Male,56,HR,HR Manager,2018-08-26,7.4,86610,4,No,High School,Married,No,20,8,Atlanta
E100104,Mary,Johnson,Male,34,HR,HR Manager,2017-03-31,8.8,64616,5,No,Master,Single,No,21,15,Atlanta
E100105,John,Jackson,Female,58,Marketing,Marketing Specialist,2021-06-08,4.6,57059,3,No,Bachelor,Divorced,Yes,22,15,Phoenix
E100106,Jessica,Johnson,Female,23,Sales,Sales Manager,2022-06-26,3.5,73513,3,No,Bachelor,Married,No,22,2,Denver
E100107,Joseph,Moore,Male,32,HR,HR Specialist,2021-08-22,4.4,73987,3,No,Master,Divorced,Yes,20,1,Chicago
E100108,Lisa,Lopez,Male,26,Marketing,Marketing Manager,2012-10-19,13.2,74358,5,No,Associate,Married,Yes,55,15,Phoenix
E100109,Jennifer,Martin,Male,56,HR,HR Specialist,2022-03-09,3.8,56792,4,No,Bachelor,Married,No,18,5,Boston
E100110,Elizabeth,Taylor,Male,38,IT,Software Engineer,2020-08-17,5.4,99341,4,No,Master,Married,Yes,46,5,Atlanta
E100111,Robert,Williams,Female,35,Customer Support,Support Agent,2021-10-21,4.2,76340,3,No,Master,Divorced,Yes,11,8,Miami
E100112,James,Brown,Male,26,IT,IT Support,2021-10-26,4.2,92821,3,Yes,High School,Divorced,Yes,52,13,Miami
E100113,David,Garcia,Female,59,Sales,Sales Rep,2013-07-22,12.5,76657,3,No,Master,Married,No,37,8,Atlanta
E100114,David,Hernandez,Male,33,Marketing,Marketing Manager,2018-08-31,7.3,97240,3,Yes,High School,Divorced,Yes,51,9,Boston
E100115,Sarah,Martinez,Male,34,Sales,Sales Manager,2023-08-28,2.3,66408,3,Yes,Master,Single,Yes,44,14,Atlanta
E100116,Daniel,Wilson,Female,60,Sales,Sales Rep,2012-09-07,13.3,72980,4,Yes,Bachelor,Married,Yes,34,13,Atlanta
E100117,Robert,Martinez,Male,59,Operations,Operations Manager,2017-10-21,8.2,56052,4,No,High School,Married,Yes,26,13,Dallas
E100118,Joseph,Lopez,Male,53,Operations,Operations Analyst,2017-05-05,8.7,99189,4,No,Master,Divorced,Yes,1,2,Miami
E100119,William,Brown,Female,59,Finance,Financial Analyst,2012-09-25,13.3,64149,3,No,Bachelor,Married,No,53,14,Phoenix
E100120,David,Davis,Male,35,HR,HR Manager,2022-03-30,3.8,47291,3,Yes,Master,Single,Yes,8,15,Denver
E100121,Susan,Martin,Female,50,HR,HR Manager,2023-12-29,2,84127,3,Yes,Associate,Married,Yes,2,13,Chicago
E100122,Michael,Martin,Male,40,HR,HR Specialist,2025-01-26,0.9,77695,5,Yes,Master,Single,Yes,1,13,Seattle
E100123,Joseph,Moore,Male,55,Operations,Operations Manager,2013-09-07,12.3,63334,4,No,High School,Divorced,Yes,29,0,Chicago
E100124,Michael,Rodriguez,Female,32,Sales,Sales Manager,2012-12-29,13,52391,3,No,Master,Married,No,32,4,Seattle
E100125,Daniel,Williams,Female,59,Marketing,Marketing Specialist,2020-07-05,5.5,57007,3,No,Associate,Married,No,57,2,Seattle
E100126,Elizabeth,Martinez,Male,52,Operations,Operations Manager,2013-08-03,12.4,70583,4,No,Associate,Divorced,Yes,56,7,Dallas
E100127,Susan,Martin,Female,52,HR,HR Specialist,2016-12-16,9,56569,3,No,Associate,Single,No,38,1,Denver
E100128,Jessica,Jones,Male,57,Marketing,Marketing Specialist,2014-04-24,11.7,65129,3,No,Associate,Married,No,59,1,Denver
E100129,Michael,Jackson,Male,54,IT,Data Analyst,2013-12-22,12,84885,4,No,High School,Married,Yes,56,12,Chicago
E100130,Matthew,Moore,Female,26,Operations,Operations Manager,2017-11-29,8.1,93938,3,No,High School,Divorced,Yes,10,8,Seattle
E100131,Elizabeth,Thomas,Male,28,Operations,Operations Analyst,2024-03-14,1.8,89365,4,No,High School,Single,No,51,2,Miami
E100132,Sarah,Martin,Female,50,Sales,Sales Manager,2023-12-31,2,84091,3,No,High School,Married,No,22,15,Phoenix
E100133,Jessica,Taylor,Male,58,Sales,Sales Rep,2017-04-26,8.7,80180,2,No,Associate,Single,No,52,14,Miami
E100134,Elizabeth,Lopez,Male,46,Sales,Sales Manager,2017-04-22,8.7,70672,3,No,Bachelor,Divorced,No,1,6,Denver
E100135,Mary,Smith,Female,55,Marketing,Marketing Specialist,2013-03-02,12.8,67347,3,No,Bachelor,Married,Yes,9,6,Seattle
E100136,Elizabeth,Gonzalez,Male,51,Finance,Accountant,2014-10-19,11.2,63588,3,No,Bachelor,Divorced,Yes,36,12,Chicago
E100137,Matthew,Williams,Male,60,Sales,Sales Manager,2012-07-03,13.5,62652,2,No,High School,Single,Yes,9,2,Dallas
E100138,Jessica,Thomas,Female,28,Customer Support,Support Agent,2017-08-17,8.4,72993,2,No,High School,Married,Yes,56,8,Boston
E100139,Matthew,Rodriguez,Male,38,Marketing,Marketing Manager,2023-03-20,2.8,79280,3,No,Master,Married,No,25,14,Denver
E100140,Matthew,Lopez,Male,45,Marketing,Marketing Manager,2022-06-26,3.5,78742,3,No,Bachelor,Married,Yes,22,4,Seattle
E100141,Lisa,Rodriguez,Male,22,Sales,Sales Rep,2015-03-23,10.8,71585,5,Yes,High School,Single,No,9,4,Miami
E100142,Linda,Williams,Male,59,Marketing,Marketing Specialist,2014-07-25,11.4,87423,4,No,Master,Single,No,29,1,Miami
E100143,Joseph,Anderson,Female,54,IT,IT Support,2023-11-23,2.1,80455,2,Yes,High School,Divorced,No,22,1,Chicago
E100144,Joseph,Jackson,Male,39,Finance,Accountant,2025-12-24,0,62102,3,No,Associate,Divorced,No,35,1,Denver
E100145,Joseph,Smith,Female,57,IT,Data Analyst,2018-09-27,7.3,94319,2,No,Associate,Married,No,7,1,Boston
E100146,Elizabeth,Jones,Female,43,HR,HR Manager,2013-11-26,12.1,66164,5,No,Master,Divorced,No,46,2,Seattle
E100147,Jennifer,Gonzalez,Male,49,HR,HR Manager,2017-10-26,8.2,89724,4,No,Master,Single,No,22,4,Miami
E100148,Michael,Garcia,Female,28,Operations,Operations Manager,2019-08-28,6.4,92423,2,Yes,High School,Single,Yes,14,15,Boston
E100149,Jessica,Martin,Male,37,Sales,Sales Rep,2012-07-30,13.4,87192,3,No,Master,Divorced,No,53,5,Dallas
E100150,Patricia,Davis,Female,58,Marketing,Marketing Manager,2024-11-27,1.1,69697,3,No,Associate,Divorced,Yes,43,5,Phoenix
E100151,Sarah,Brown,Female,24,Customer Support,Support Lead,2025-09-14,0.3,36196,5,No,High School,Single,No,29,6,Denver
E100152,Linda,Hernandez,Female,47,Sales,Sales Manager,2014-12-21,11,80529,2,No,Master,Married,Yes,14,11,Chicago
E100153,Joseph,Gonzalez,Female,36,Finance,Financial Analyst,2021-03-27,4.8,101045,3,No,Master,Single,No,16,7,Miami
E100154,Robert,Jones,Male,28,Finance,Financial Analyst,2016-09-25,9.3,62956,2,Yes,Bachelor,Divorced,Yes,40,13,Seattle
E100155,Matthew,Johnson,Female,42,Customer Support,Support Agent,2020-08-31,5.3,52627,3,No,Associate,Divorced,No,47,3,Seattle
E100156,Jennifer,Garcia,Female,30,Operations,Operations Manager,2015-07-14,10.5,73043,3,No,Bachelor,Single,Yes,43,4,Seattle
E100157,Mary,Lopez,Female,45,IT,Data Analyst,2013-03-04,12.8,115449,3,No,Bachelor,Divorced,No,51,8,Miami
E100158,Mary,Thomas,Female,44,HR,HR Specialist,2022-03-02,3.8,83800,4,No,Master,Married,No,48,5,Dallas
E100159,Robert,Lopez,Male,24,HR,HR Manager,2018-01-24,7.9,68554,4,Yes,Associate,Single,No,28,2,Dallas
E100160,Mary,Martinez,Female,56,Marketing,Marketing Specialist,2024-09-12,1.3,64104,4,No,Associate,Divorced,No,27,6,Miami
E100161,Karen,Martinez,Female,27,Sales,Sales Rep,2015-02-07,10.9,81165,3,No,Associate,Single,Yes,42,4,Phoenix
E100162,James,Brown,Female,33,Finance,Financial Analyst,2015-03-31,10.8,98219,3,No,Bachelor,Single,Yes,19,4,Seattle
E100163,Elizabeth,Anderson,Male,43,Customer Support,Support Lead,2013-11-28,12.1,53681,5,No,Master,Married,Yes,46,5,Atlanta
E100164,James,Jones,Female,40,IT,Data Analyst,2017-07-23,8.4,115150,3,No,Master,Divorced,No,36,15,Phoenix
E100165,William,Miller,Male,24,IT,Software Engineer,2019-10-02,6.3,95714,4,Yes,Bachelor,Divorced,No,5,5,Dallas
E100166,Elizabeth,Jones,Male,60,HR,HR Manager,2020-01-02,6,78019,4,Yes,Associate,Divorced,Yes,13,0,Denver
E100167,Patricia,Anderson,Male,56,HR,HR Specialist,2019-08-12,6.4,80800,4,No,Bachelor,Divorced,No,44,11,Dallas
E100168,Karen,Jones,Female,56,IT,Data Analyst,2024-11-30,1.1,80860,5,No,Bachelor,Single,Yes,48,1,Chicago
E100169,Lisa,Jones,Male,26,Operations,Operations Manager,2013-10-13,12.2,68434,4,No,Master,Single,No,11,4,Dallas
E100170,Matthew,Brown,Male,52,HR,HR Specialist,2022-05-21,3.6,70379,2,No,Master,Married,Yes,38,2,Phoenix
E100171,Jessica,Johnson,Male,34,HR,HR Manager,2023-05-21,2.6,59684,3,Yes,Bachelor,Married,Yes,40,2,Dallas
E100172,Karen,Taylor,Female,50,IT,Data Analyst,2015-02-27,10.9,79943,2,Yes,Bachelor,Single,No,52,10,Boston
E100173,Lisa,Hernandez,Female,48,HR,HR Manager,2025-09-09,0.3,84723,4,No,Associate,Divorced,Yes,34,5,Denver
E100174,Elizabeth,Johnson,Female,60,Sales,Sales Manager,2024-08-08,1.4,82829,5,No,High School,Divorced,No,55,1,Phoenix
E100175,Michael,Thomas,Female,22,HR,HR Specialist,2016-07-12,9.5,79852,4,Yes,Associate,Divorced,No,46,6,Dallas
E100176,Mary,Garcia,Female,42,IT,Data Analyst,2020-04-25,5.7,117150,2,Yes,Associate,Single,Yes,12,13,Dallas
E100177,Thomas,Martin,Female,46,IT,Software Engineer,2020-09-28,5.3,92417,3,No,Master,Married,Yes,18,7,Phoenix
E100178,Susan,Wilson,Female,42,Finance,Financial Analyst,2020-02-07,5.9,101351,3,Yes,High School,Divorced,Yes,45,2,Phoenix
E100179,Patricia,Jones,Male,60,HR,HR Specialist,2022-02-12,3.9,48814,4,No,High School,Single,No,20,4,Miami
E100180,Daniel,Garcia,Male,40,HR,HR Specialist,2012-02-01,13.9,80398,5,Yes,High School,Single,No,26,14,Chicago
E100181,Sarah,Jackson,Male,47,Finance,Financial Analyst,2023-01-11,3,87678,3,Yes,Associate,Single,Yes,33,9,Boston
E100182,Elizabeth,Davis,Male,40,IT,Data Analyst,2019-04-17,6.7,78058,5,No,Bachelor,Single,Yes,29,3,Chicago
E100183,Robert,Martin,Male,41,IT,Data Analyst,2020-04-11,5.7,112186,3,Yes,Master,Single,Yes,8,12,Dallas
E100184,Robert,Johnson,Female,57,HR,HR Manager,2019-11-14,6.1,87410,4,No,Bachelor,Single,No,36,10,Dallas
E100185,Daniel,Jackson,Male,57,Finance,Accountant,2015-02-12,10.9,102316,3,Yes,Bachelor,Married,Yes,21,6,Denver
E100186,Karen,Williams,Female,27,Finance,Financial Analyst,2023-10-04,2.2,69326,2,No,Master,Married,No,22,6,Boston
E100187,Michael,Brown,Female,43,Sales,Sales Rep,2019-10-26,6.2,88451,3,No,Associate,Married,No,52,4,Seattle
E100188,William,Anderson,Female,27,Customer Support,Support Lead,2019-10-30,6.2,71372,3,No,Associate,Divorced,No,46,8,Seattle
E100189,Linda,Thomas,Female,28,Customer Support,Support Agent,2016-04-25,9.7,46924,3,Yes,Bachelor,Divorced,No,6,2,Boston
E100190,Mary,Rodriguez,Female,46,HR,HR Manager,2017-03-12,8.8,55008,3,No,Master,Single,No,27,14,Chicago
E100191,David,Lopez,Male,57,Sales,Sales Rep,2015-07-08,10.5,65559,3,No,Master,Married,Yes,44,0,Dallas
E100192,Robert,Garcia,Male,55,Marketing,Marketing Manager,2023-09-20,2.3,61171,3,Yes,High School,Divorced,Yes,59,11,Seattle
E100193,Joseph,Wilson,Male,37,Marketing,Marketing Manager,2017-06-28,8.5,71901,3,No,Bachelor,Married,Yes,11,10,Miami
E100194,Jessica,Thomas,Male,32,Customer Support,Support Agent,2012-09-12,13.3,64269,2,No,Associate,Divorced,No,33,5,Chicago
E100195,Mary,Moore,Male,48,HR,HR Specialist,2019-09-15,6.3,86737,3,Yes,High School,Single,Yes,11,1,Chicago
E100196,Elizabeth,Moore,Male,45,Sales,Sales Manager,2017-08-04,8.4,86041,5,No,Associate,Divorced,Yes,26,9,Seattle
E100197,Jessica,Hernandez,Male,41,IT,IT Support,2014-02-20,11.9,82371,3,Yes,Master,Married,No,23,11,Dallas
E100198,Lisa,Smith,Male,58,Operations,Operations Manager,2012-08-19,13.4,62282,4,No,Bachelor,Divorced,No,33,9,Atlanta
E100199,Jennifer,Wilson,Male,39,Marketing,Marketing Specialist,2025-10-19,0.2,62237,3,No,Master,Divorced,No,9,9,Atlanta
E100200,Daniel,Gonzalez,Female,30,Marketing,Marketing Manager,2016-01-26,9.9,94940,4,No,Bachelor,Single,No,15,6,Chicago
E100201,Karen,Moore,Female,36,Sales,Sales Manager,2013-12-10,12.1,78238,3,No,Master,Single,No,59,1,Atlanta
E100202,Sarah,Brown,Male,44,Finance,Accountant,2013-05-05,12.7,97058,2,No,High School,Single,No,45,15,Dallas
E100203,David,Wilson,Female,36,Sales,Sales Rep,2016-09-29,9.3,60786,3,No,Associate,Single,No,10,1,Atlanta
E100204,James,Smith,Male,23,Operations,Operations Manager,2024-10-08,1.2,93446,3,No,Associate,Married,Yes,52,12,Phoenix
E100205,Thomas,Jackson,Female,58,Marketing,Marketing Manager,2019-02-07,6.9,97108,3,No,Associate,Single,No,51,7,Miami
